slug,property,location_heading,model_raw,beds_raw,baths_raw,rent_raw,sqft_raw,source_url,retrieved_at_utc,beds,baths,rent_start,sqft_min,sqft_max,exact_area,special_layout,area,eligible_standard_1br,exclusion_reason,monthly_rent_per_sqft,within_base_budget
westfield-apartments,Westfield Apartments,Philadelphia Apartments in Wynnefield,Studio | 1 Bath,Studio,1,Starting At $999,350,https://galmangroup.com/property/westfield-apartments/,2026-09-21T20:44:51Z,0,1,999,350,350,TRUE,FALSE,Wynnefield,FALSE,Not one bedroom,2.854285714285714,TRUE
westfield-apartments,Westfield Apartments,Philadelphia Apartments in Wynnefield,1 Bed | 1 Bath,1,1,"Starting At $1,399",665,https://galmangroup.com/property/westfield-apartments/,2026-09-21T20:44:51Z,1,1,1399,665,665,TRUE,FALSE,Wynnefield,TRUE,Included,2.1037593984962406,TRUE
westfield-apartments,Westfield Apartments,Philadelphia Apartments in Wynnefield,2 Bed | 1 Bath,2,1,"Starting At $1,699",945,https://galmangroup.com/property/westfield-apartments/,2026-09-21T20:44:51Z,2,1,1699,945,945,TRUE,FALSE,Wynnefield,FALSE,Not one bedroom,1.7978835978835979,FALSE
265-flats,265 Flats,Mt. Airy Apartments at 265 Flats,1 Bed | 1 Bath,1,1,"Starting At $1,450",625,https://galmangroup.com/property/265-flats/,2026-09-21T20:44:53Z,1,1,1450,625,625,TRUE,FALSE,Mount Airy,TRUE,Included,2.32,TRUE
265-flats,265 Flats,Mt. Airy Apartments at 265 Flats,2 Bed | 1 Bath,2,1,"Starting At $1,624",900,https://galmangroup.com/property/265-flats/,2026-09-21T20:44:53Z,2,1,1624,900,900,TRUE,FALSE,Mount Airy,FALSE,Not one bedroom,1.8044444444444445,FALSE
algon-flats,Algon Flats,"Apartments in Rhawnhurst, Northeast Philadelphia",Studio | 1 Bath,0,1,Call for Availability,500,https://galmangroup.com/property/algon-flats/,2026-09-21T20:45:02Z,0,1,NA,500,500,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,NA,FALSE
algon-flats,Algon Flats,"Apartments in Rhawnhurst, Northeast Philadelphia",1 Bed | 1 Bath,1,1,"Starting at $1,520",733,https://galmangroup.com/property/algon-flats/,2026-09-21T20:45:02Z,1,1,1520,733,733,TRUE,FALSE,Northeast Philadelphia,TRUE,Included,2.0736698499317874,FALSE
algon-flats,Algon Flats,"Apartments in Rhawnhurst, Northeast Philadelphia",2 Bed | 1 Bath,2,1,"Starting at $1,650",830,https://galmangroup.com/property/algon-flats/,2026-09-21T20:45:02Z,2,1,1650,830,830,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,1.9879518072289157,FALSE
canterbury-apartments,Canterbury Apartments,Charming 2-Bedroom Rentals in Mt. Airy,2 Bedroom,2,1,"Starting At $1,982",745,https://galmangroup.com/property/canterbury-apartments/,2026-09-21T20:45:11Z,2,1,1982,745,745,TRUE,FALSE,Mount Airy,FALSE,Not one bedroom,2.6604026845637585,FALSE
chestnut-terrace,Chestnut Terrace,Apartments in East Mount Airy Near Chestnut Hill,1 Bed | 1 Bath,1,1,"Starting at $1,590",690,https://galmangroup.com/property/chestnut-terrace/,2026-09-21T20:45:13Z,1,1,1590,690,690,TRUE,FALSE,Mount Airy,TRUE,Included,2.3043478260869565,FALSE
chestnut-terrace,Chestnut Terrace,Apartments in East Mount Airy Near Chestnut Hill,2 Bed | 1 Bath,2,1,Call for Availability,950,https://galmangroup.com/property/chestnut-terrace/,2026-09-21T20:45:13Z,2,1,NA,950,950,TRUE,FALSE,Mount Airy,FALSE,Not one bedroom,NA,FALSE
coventry-apartments,Coventry House,Apartments for Rent in Philadelphia’s Fox Chase,Studio | 1 Bath,0,1,Call for Availability,388,https://galmangroup.com/property/coventry-apartments/,2026-09-21T20:45:15Z,0,1,NA,388,388,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,NA,FALSE
coventry-apartments,Coventry House,Apartments for Rent in Philadelphia’s Fox Chase,1 Bed Jr | 1 Bath,1,1,"Starting at $1,295",498,https://galmangroup.com/property/coventry-apartments/,2026-09-21T20:45:15Z,1,1,1295,498,498,TRUE,TRUE,Northeast Philadelphia,FALSE,"Junior, den, bi-level or townhouse layout",2.6004016064257027,TRUE
coventry-apartments,Coventry House,Apartments for Rent in Philadelphia’s Fox Chase,1 Bed | 1 Bath,1,1,Call for Availability,619,https://galmangroup.com/property/coventry-apartments/,2026-09-21T20:45:15Z,1,1,NA,619,619,TRUE,FALSE,Northeast Philadelphia,TRUE,No published numerical rent,NA,FALSE
coventry-apartments,Coventry House,Apartments for Rent in Philadelphia’s Fox Chase,2 Bed | 1 Bath,2,1,"Starting at $1,215",822,https://galmangroup.com/property/coventry-apartments/,2026-09-21T20:45:15Z,2,1,1215,822,822,TRUE,FALSE,Northeast Philadelphia,FALSE,Not one bedroom,1.4781021897810218,TRUE
