slug,property,location_heading,model_raw,beds_raw,baths_raw,rent_raw,sqft_raw,source_url,retrieved_at_utc
westfield-apartments,Westfield Apartments,Philadelphia Apartments in Wynnefield,Studio | 1 Bath,Studio,1,Starting At $999,350,https://galmangroup.com/property/westfield-apartments/,2026-09-21T20:44:51Z
westfield-apartments,Westfield Apartments,Philadelphia Apartments in Wynnefield,1 Bed | 1 Bath,1,1,"Starting At $1,399",665,https://galmangroup.com/property/westfield-apartments/,2026-09-21T20:44:51Z
westfield-apartments,Westfield Apartments,Philadelphia Apartments in Wynnefield,2 Bed | 1 Bath,2,1,"Starting At $1,699",945,https://galmangroup.com/property/westfield-apartments/,2026-09-21T20:44:51Z
265-flats,265 Flats,Mt. Airy Apartments at 265 Flats,1 Bed | 1 Bath,1,1,"Starting At $1,450",625,https://galmangroup.com/property/265-flats/,2026-09-21T20:44:53Z
265-flats,265 Flats,Mt. Airy Apartments at 265 Flats,2 Bed | 1 Bath,2,1,"Starting At $1,624",900,https://galmangroup.com/property/265-flats/,2026-09-21T20:44:53Z
algon-flats,Algon Flats,"Apartments in Rhawnhurst, Northeast Philadelphia",Studio | 1 Bath,0,1,Call for Availability,500,https://galmangroup.com/property/algon-flats/,2026-09-21T20:45:02Z
algon-flats,Algon Flats,"Apartments in Rhawnhurst, Northeast Philadelphia",1 Bed | 1 Bath,1,1,"Starting at $1,520",733,https://galmangroup.com/property/algon-flats/,2026-09-21T20:45:02Z
algon-flats,Algon Flats,"Apartments in Rhawnhurst, Northeast Philadelphia",2 Bed | 1 Bath,2,1,"Starting at $1,650",830,https://galmangroup.com/property/algon-flats/,2026-09-21T20:45:02Z
canterbury-apartments,Canterbury Apartments,Charming 2-Bedroom Rentals in Mt. Airy,2 Bedroom,2,1,"Starting At $1,982",745,https://galmangroup.com/property/canterbury-apartments/,2026-09-21T20:45:11Z
chestnut-terrace,Chestnut Terrace,Apartments in East Mount Airy Near Chestnut Hill,1 Bed | 1 Bath,1,1,"Starting at $1,590",690,https://galmangroup.com/property/chestnut-terrace/,2026-09-21T20:45:13Z
chestnut-terrace,Chestnut Terrace,Apartments in East Mount Airy Near Chestnut Hill,2 Bed | 1 Bath,2,1,Call for Availability,950,https://galmangroup.com/property/chestnut-terrace/,2026-09-21T20:45:13Z
coventry-apartments,Coventry House,Apartments for Rent in Philadelphia’s Fox Chase,Studio | 1 Bath,0,1,Call for Availability,388,https://galmangroup.com/property/coventry-apartments/,2026-09-21T20:45:15Z
coventry-apartments,Coventry House,Apartments for Rent in Philadelphia’s Fox Chase,1 Bed Jr | 1 Bath,1,1,"Starting at $1,295",498,https://galmangroup.com/property/coventry-apartments/,2026-09-21T20:45:15Z
coventry-apartments,Coventry House,Apartments for Rent in Philadelphia’s Fox Chase,1 Bed | 1 Bath,1,1,Call for Availability,619,https://galmangroup.com/property/coventry-apartments/,2026-09-21T20:45:15Z
coventry-apartments,Coventry House,Apartments for Rent in Philadelphia’s Fox Chase,2 Bed | 1 Bath,2,1,"Starting at $1,215",822,https://galmangroup.com/property/coventry-apartments/,2026-09-21T20:45:15Z
donna-court,Donna Court,Roxborough Apartments,1 Bedroom,1,1,"Starting at $1,249",561,https://galmangroup.com/property/donna-court/,2026-09-21T20:45:17Z
donna-court,Donna Court,Roxborough Apartments,2 Bedroom,2,1,Call for Availability,703,https://galmangroup.com/property/donna-court/,2026-09-21T20:45:17Z
dupont-towers,Dupont Towers,"Apartments in Roxborough, PA",1 Bedroom,1,1,"Starting At $1,750",869,https://galmangroup.com/property/dupont-towers/,2026-09-21T20:45:20Z
dupont-towers,Dupont Towers,"Apartments in Roxborough, PA",2 Bedroom,2,2,"Starting At $1,910",990,https://galmangroup.com/property/dupont-towers/,2026-09-21T20:45:20Z
