slug,property,location_heading,model_raw,beds_raw,baths_raw,rent_raw,sqft_raw,source_url,retrieved_at_utc,beds,baths,rent_start,sqft_min,sqft_max,exact_area,special_layout,area,eligible_standard_1br,exclusion_reason,monthly_rent_per_sqft,within_base_budget
westfield-apartments,Westfield Apartments,Philadelphia Apartments in Wynnefield,1 Bed | 1 Bath,1,1,"Starting At $1,399",665,https://galmangroup.com/property/westfield-apartments/,2026-09-21T20:44:51Z,1,1,1399,665,665,TRUE,FALSE,Wynnefield,TRUE,Included,2.1037593984962406,TRUE
265-flats,265 Flats,Mt. Airy Apartments at 265 Flats,1 Bed | 1 Bath,1,1,"Starting At $1,450",625,https://galmangroup.com/property/265-flats/,2026-09-21T20:44:53Z,1,1,1450,625,625,TRUE,FALSE,Mount Airy,TRUE,Included,2.32,TRUE
algon-flats,Algon Flats,"Apartments in Rhawnhurst, Northeast Philadelphia",1 Bed | 1 Bath,1,1,"Starting at $1,520",733,https://galmangroup.com/property/algon-flats/,2026-09-21T20:45:02Z,1,1,1520,733,733,TRUE,FALSE,Northeast Philadelphia,TRUE,Included,2.0736698499317874,FALSE
chestnut-terrace,Chestnut Terrace,Apartments in East Mount Airy Near Chestnut Hill,1 Bed | 1 Bath,1,1,"Starting at $1,590",690,https://galmangroup.com/property/chestnut-terrace/,2026-09-21T20:45:13Z,1,1,1590,690,690,TRUE,FALSE,Mount Airy,TRUE,Included,2.3043478260869565,FALSE
donna-court,Donna Court,Roxborough Apartments,1 Bedroom,1,1,"Starting at $1,249",561,https://galmangroup.com/property/donna-court/,2026-09-21T20:45:17Z,1,1,1249,561,561,TRUE,FALSE,Roxborough,TRUE,Included,2.2263814616755795,TRUE
dupont-towers,Dupont Towers,"Apartments in Roxborough, PA",1 Bedroom,1,1,"Starting At $1,750",869,https://galmangroup.com/property/dupont-towers/,2026-09-21T20:45:20Z,1,1,1750,869,869,TRUE,FALSE,Roxborough,TRUE,Included,2.013808975834292,FALSE
forest-station,Forest Station,Somerton Apartments in Philadelphia,1 Bedroom,1,1,"Starting At $1,591",559,https://galmangroup.com/property/forest-station/,2026-09-21T20:45:22Z,1,1,1591,559,559,TRUE,FALSE,Northeast Philadelphia,TRUE,Included,2.8461538461538463,FALSE
lions-gate-apartments,Lion’s Gate Apartments,"Apartments for Rent in Bustleton, ​Philadelphia",1 Bedroom,1,1,"Starting At $1,421",628,https://galmangroup.com/property/lions-gate-apartments/,2026-09-21T20:45:39Z,1,1,1421,628,628,TRUE,FALSE,Northeast Philadelphia,TRUE,Included,2.2627388535031847,TRUE
the-mccallum,The McCallum,"Apartments in Mount Airy, Philadelphia",1 Bedroom*,1,1,"Starting at $1,473",647-864,https://galmangroup.com/property/the-mccallum/,2026-09-21T20:45:41Z,1,1,1473,647,864,FALSE,FALSE,Mount Airy,TRUE,Included,NA,TRUE
pine-manor,Pine Manor,Apartments in Fox Chase,1 Bedroom,1,1,"Starting At $1,457",580,https://galmangroup.com/property/pine-manor/,2026-09-21T20:44:49Z,1,1,1457,580,580,TRUE,FALSE,Northeast Philadelphia,TRUE,Included,2.5120689655172415,TRUE
the-ridge-apartments,The Ridge Apartments,Roxborough Apartments in Philadelphia,1 Bedroom,1,1,"Starting at $1,255",616,https://galmangroup.com/property/the-ridge-apartments/,2026-09-21T20:46:22Z,1,1,1255,616,616,TRUE,FALSE,Roxborough,TRUE,Included,2.0373376623376624,TRUE
ridge-court,Ridge Court,Roxborough Apartments for Rent,1 Bedroom,1,1,"Starting at $1,345",598,https://galmangroup.com/property/ridge-court/,2026-09-21T20:46:26Z,1,1,1345,598,598,TRUE,FALSE,Roxborough,TRUE,Included,2.249163879598662,TRUE
ridgeview-apartments,Ridgeview Apartments,Luxury Apartments in Roxborough,1 Bed | 1 Bath,1,1,"Starting at $1,310",651-690,https://galmangroup.com/property/ridgeview-apartments/,2026-09-21T20:46:28Z,1,1,1310,651,690,FALSE,FALSE,Roxborough,TRUE,Included,NA,TRUE
rock-hill-apartments,Rock Hill Apartments,"Apartments for Rent in Manayunk, PA",1 Bedroom,1,1,"Starting at $1,565",571-623,https://galmangroup.com/property/rock-hill-apartments/,2026-09-21T20:46:30Z,1,1,1565,571,623,FALSE,FALSE,Manayunk,TRUE,Included,NA,FALSE
sedgwick-station,Sedgwick Station,Apartments in Mount Airy Philadelphia,1 Bed | 1 Bath,1,1,"Starting At $1,510",606,https://galmangroup.com/property/sedgwick-station/,2026-09-21T20:46:32Z,1,1,1510,606,606,TRUE,FALSE,Mount Airy,TRUE,Included,2.4917491749174916,FALSE
stenton-plaza,Stenton Plaza,"Mt. Airy Apartments in Philadelphia, PA!",1 Bedroom,1,1,"Starting At $1,314",585,https://galmangroup.com/property/stenton-plaza/,2026-09-21T20:46:41Z,1,1,1314,585,585,TRUE,FALSE,Mount Airy,TRUE,Included,2.246153846153846,TRUE
